city,month-year,filings,renter_occ_HUs,filing_rate
Philadelphia,23-Jul,1051,331415,0.32%
Philadelphia,23-Aug,1207,331415,0.36%
Philadelphia,23-Sep,853,331415,0.26%
Philadelphia,23-Oct,1084,331415,0.33%
Philadelphia,23-Nov,975,331415,0.29%
Philadelphia,23-Dec,970,331415,0.29%
Philadelphia,24-Jan,1192,338178,0.35%
Philadelphia,24-Feb,1205,338178,0.36%
Philadelphia,24-Mar,931,338178,0.28%
Philadelphia,24-Apr,958,338178,0.28%
Philadelphia,24-May,1038,338178,0.31%
Philadelphia,24-Jun,962,338178,0.28%
Philadelphia,24-Jul,1140,338178,0.34%
Philadelphia,24-Aug,1079,338178,0.32%
Philadelphia,24-Sep,1178,338178,0.35%
Philadelphia,24-Oct,1233,338178,0.36%
Philadelphia,24-Nov,1083,338178,0.32%
Philadelphia,24-Dec,1250,338178,0.37%
Philadelphia,25-Jan,1236,338178,0.37%
Philadelphia,25-Feb,1057,338178,0.31%
Philadelphia,25-Mar,1140,338178,0.34%
Philadelphia,25-Apr,917,338178,0.27%
Philadelphia,25-May,1107,338178,0.33%
Philadelphia,25-Jun,1219,338178,0.36%
Philadelphia,25-Jul,1222,338178,0.36%
Philadelphia,25-Aug,965,338178,0.29%
Philadelphia,25-Sep,1078,338178,0.32%
Philadelphia,25-Oct,1226,338178,0.36%
Philadelphia,25-Nov,956,338178,0.28%
Philadelphia,25-Dec,1280,338178,0.38%
Philadelphia,26-Jan,1137,338178,0.34%
Philadelphia,26-Feb,1002,338178,0.30%
Phoenix,20-Jan,5850,583611,1.00%
Phoenix,20-Feb,5615,583611,0.96%
Phoenix,20-Mar,3859,583611,0.66%
Phoenix,20-Apr,1764,583611,0.30%
Phoenix,20-May,1458,583611,0.25%
Phoenix,20-Jun,1603,583611,0.27%
Phoenix,20-Jul,1754,583611,0.30%
Phoenix,20-Aug,2164,583611,0.37%
Phoenix,20-Sep,2857,583611,0.49%
Phoenix,20-Oct,3374,583611,0.58%
Phoenix,20-Nov,3164,583611,0.54%
Phoenix,20-Dec,4206,583611,0.72%
Phoenix,21-Jan,3237,583611,0.55%
Phoenix,21-Feb,3141,583611,0.54%
Phoenix,21-Mar,3242,583611,0.56%
Phoenix,21-Apr,2469,583611,0.42%
Phoenix,21-May,2610,583611,0.45%
Phoenix,21-Jun,2972,583611,0.51%
Phoenix,21-Jul,3616,583611,0.62%
Phoenix,21-Aug,2980,583611,0.51%
Phoenix,21-Sep,4251,583611,0.73%
Phoenix,21-Oct,4654,583611,0.80%
Phoenix,21-Nov,3801,583611,0.65%
Phoenix,21-Dec,4393,583611,0.75%
Phoenix,22-Jan,5200,600091,0.87%
Phoenix,22-Feb,4496,600091,0.75%
Phoenix,22-Mar,4674,600091,0.78%
Phoenix,22-Apr,4189,600091,0.70%
Phoenix,22-May,4820,600091,0.80%
Phoenix,22-Jun,5771,600091,0.96%
Phoenix,22-Jul,6383,600091,1.06%
Phoenix,22-Aug,6552,600091,1.09%
Phoenix,22-Sep,6110,600091,1.02%
Phoenix,22-Oct,5215,600091,0.87%
